# HSK 3.0 Level 1 Vocabulary
# Source: Wiktionary - https://en.wiktionary.org/wiki/Appendix:HSK_list_of_Mandarin_words_v3.0/level_1
# License: CC BY-SA 4.0 (https://creativecommons.org/licenses/by-sa/4.0/)
# Format: chinese,pinyin,english
爱,ài,love;loving;to love
吧,ba,right;okay
八,bā,eight
白,bái,white
百,bǎi,hundred
班,bān,class
半,bàn,half
帮,bāng,help;helping;to help
包,bāo,bag;wrap;wrapping;to wrap
杯,bēi,cup
北,běi,north
本,běn,this;volume
比,bǐ,compare;comparing;to compare;than
别,bié,don't
病,bìng,sick;illness
不,bù,not
菜,cài,dish;vegetable
茶,chá,tea
差,chà,poor;lacking
常,cháng,often
唱,chàng,sing;singing;to sing
车,chē,car;vehicle
吃,chī,eat;eating;to eat
出,chū,out;exit
穿,chuān,wear;wearing;to wear
床,chuáng,bed
次,cì,times
从,cóng,from
错,cuò,wrong;mistake
打,dǎ,hit;play;hitting;to hit;to play
大,dà,big;large
到,dào,arrive;to arrive;arriving
地,de,ly
的,de,of
等,děng,wait;waiting;etc
地,dì,ground;earth
第,dì,ordinal
点,diǎn,point;dot;o'clock
电,diàn,electric;electricity
东,dōng,east
动,dòng,move;moving;to move
都,dōu,all;both
读,dú,read;reading;to read
对,duì,correct;right;toward
多,duō,many;much;more
饿,è,hungry
二,èr,two
饭,fàn,rice;meal
放,fàng,put;release;putting;to put;to release
飞,fēi,fly;flying;to fly
分,fēn,minute;point;divide
风,fēng,wind
干,gān,dry
干,gàn,do;doing;to do
高,gāo,tall;high
歌,gē,song
个,gè,a;an
给,gěi,give;giving;to give;for
跟,gēn,with;follow;following;to follow
关,guān,close;closing;to close;shut
贵,guì,expensive
国,guó,country;nation
过,guò,pass;passing;to pass;across
还,hái,still;yet
好,hǎo,good;well;fine
号,hào,number;date
喝,hē,drink;drinking;to drink
和,hé,and
很,hěn,very
后,hòu,after;behind;back
花,huā,flower;spend;spending;to spend
话,huà,speech;words
坏,huài,bad;broken
还,huán,return;returning;to return
回,huí,return;returning;to return;back
会,huì,can;will;meeting
几,jǐ,how many;several
记,jì,remember;remembering;to remember
家,jiā,home;family
间,jiān,room;between
见,jiàn,see;seeing;to see;meet
教,jiāo,teach;teaching;to teach
叫,jiào,call;calling;to call
进,jìn,enter;entering;to enter
九,jiǔ,nine
就,jiù,then;just
开,kāi,open;opening;to open;start
看,kàn,look;looking;to look;watch;watching;to watch
考,kǎo,test;testing;exam
渴,kě,thirsty
课,kè,lesson;class
口,kǒu,mouth;opening
块,kuài,piece;yuan;block
快,kuài,fast;quick;quickly
来,lái,come;coming;to come
老,lǎo,old
了,le,already
累,lèi,tired
冷,lěng,cold
里,lǐ,inside;in
两,liǎng,two;both;pair
零,líng,zero
六,liù,six
楼,lóu,floor;building
路,lù,road;path
吗,ma,whether
买,mǎi,buy;buying;to buy
慢,màn,slow;slowly
忙,máng,busy
毛,máo,hair;dime
没,méi,not;no
们,men,plural
门,mén,door;gate
拿,ná,take;taking;to take;hold
哪,nǎ,which
哪儿,nǎr,where
那,nà,that
那儿,nàr,there
奶,nǎi,milk;grandma
南,nán,south
男,nán,male;man
难,nán,difficult;hard
呢,ne,what about
能,néng,can;able
你,nǐ,you
年,nián,year
您,nín,you
女,nǚ,female;woman
跑,pǎo,run;running;to run
票,piào,ticket
七,qī,seven
起,qǐ,rise;rising;get up
前,qián,front;before;ahead
钱,qián,money
请,qǐng,please;invite;inviting;to invite
球,qiú,ball
去,qù,go;going;to go
热,rè,hot;warm
人,rén,person;people
日,rì,day;sun
肉,ròu,meat
三,sān,three
山,shān,mountain;hill
上,shàng,up;above;on
少,shǎo,few;little;less
谁,shéi,who
十,shí,ten
事,shì,thing;matter;affair
是,shì,is;am;are;be
试,shì,try;trying;to try;test
手,shǒu,hand
书,shū,book
树,shù,tree
水,shuǐ,water
睡,shuì,sleep;sleeping;to sleep
说,shuō,say;saying;to say;speak;speaking;to speak
四,sì,four
送,sòng,send;sending;to send;give;deliver
岁,suì,years old
他,tā,he;him
她,tā,she;her
太,tài,too;very
天,tiān,sky;day;heaven
听,tīng,listen;listening;to listen;hear;hearing;to hear
外,wài,outside;outer
玩儿,wánr,play;playing;fun
晚,wǎn,late;evening
忘,wàng,forget;forgetting;to forget
问,wèn,ask;asking;to ask
我,wǒ,I;me
五,wǔ,five
西,xī,west
洗,xǐ,wash;washing;to wash
下,xià,down;below;under
先,xiān,first;before
想,xiǎng,think;thinking;to think;want;miss
小,xiǎo,small;little;young
笑,xiào,laugh;laughing;to laugh;smile
写,xiě,write;writing;to write
新,xīn,new
行,xíng,ok;fine;walk;walking
学,xué,learn;learning;to learn;study;studying;to study
要,yào,want;need;must
也,yě,also;too
页,yè,page
一,yī,one
用,yòng,use;using;to use
有,yǒu,have;having;to have;there is
右,yòu,right
雨,yǔ,rain;raining;to rain
元,yuán,yuan;dollar
远,yuǎn,far;distant
月,yuè,month;moon
再,zài,again
在,zài,at;in
早,zǎo,early;morning
站,zhàn,stand;standing;station;stop
找,zhǎo,find;finding;to find;look for
着,zhe,ongoing
这,zhè,this
真,zhēn,real;really;true;truly
正,zhèng,just;straight;right now
这儿,zhèr,here
中,zhōng,middle;center;China
重,zhòng,heavy;important
住,zhù,live;living;stay;staying
子,zi,child;seed
字,zì,character;word
走,zǒu,walk;walking;to walk;go;leave
最,zuì,most
左,zuǒ,left
做,zuò,do;doing;to do;make;making;to make
坐,zuò,sit;sitting;to sit
爱好,àihào,hobby;hobbies
爸爸,bà ba,dad;daddy;father
白天,báitiān,daytime
半年,bàn nián,half a year
半天,bàntiān,half a day;a long time
帮忙,bāng∥máng,help out;helping out
包子,bāozi,steamed bun
杯子,bēizi,cup;glass
北边,běibian,north side
北京,Běijīng,Beijing
本子,běnzi,notebook
别的,biéde,other;another
别人,bié·rén,other people;others
病人,bìngrén,patient;sick person
不大,bú dà,not very;not much
不对,búduì,incorrect;wrong
不用,búyòng,no need;needn't
常常,chángcháng,often;frequently
唱歌,chàng∥gē,sing a song;singing
车票,chēpiào,bus ticket;train ticket
车上,chē shang,on the bus;in the car
车站,chēzhàn,bus stop;station
吃饭,chī∥fàn,eat;eating;have a meal
出来,chū∥·lái,come out;coming out
出去,chū∥·qù,go out;going out
打车,dǎ∥chē,take a taxi
打开,dǎ∥kāi,open;opening;turn on
打球,dǎ qiú,play ball
大学,dàxué,university;college
得到,dé∥dào,get;to get;getting
弟弟,dì di,younger brother
地点,dìdiǎn,location;place
地方,dìfang,place;area
地上,dìshang,on the ground
地图,dìtú,map
电话,diànhuà,phone;telephone
电脑,diànnǎo,computer
